sku,platform,live_price,mrp,discount %,timestamp
EDF-100,amazon,,,,2026-04-13 14:29:59
EDF-400,amazon,1199.0,299.75,-300.0,2026-04-13 14:29:59
EDF-500,amazon,1399.0,279.8,-400.0,2026-04-13 14:29:59
EDF-600,amazon,1649.0,274833.33,99.4,2026-04-13 14:29:59
EDS-150,amazon,249.0,166.0,-50.0,2026-04-13 14:29:59
EDS-S-240,amazon,359.0,149.58,-140.01,2026-04-13 14:29:59
EDS-S-960,amazon,1199.0,124.9,-859.97,2026-04-13 14:29:59
EDF-200,amazon,,,,2026-04-13 14:29:59
EDS-S-480,amazon,699.0,145.63,-379.98,2026-04-13 14:29:59
EDF-300,amazon,,,,2026-04-13 14:29:59
EDP-900,amazon,2839.0,315.44,-800.01,2026-04-13 14:29:59
EDPP-400,amazon,1099.0,122.11,-800.01,2026-04-13 14:29:59
EDPP-900,amazon,2099.0,233.22,-800.01,2026-04-13 14:29:59
ACLC-200,amazon,1599.0,799.5,-100.0,2026-04-13 14:29:59
EDS-400,amazon,529.0,132.25,-300.0,2026-04-13 14:29:59
EDS-800,amazon,999.0,124.88,-699.97,2026-04-13 14:29:59
WI-900,amazon,4599.0,507.06,-806.99,2026-04-13 14:29:59
EDP-400,amazon,1399.0,349.75,-300.0,2026-04-13 14:29:59
ACBL-200,amazon,1599.0,799.5,-100.0,2026-04-13 14:29:59
ACMC-200,amazon,1749.0,874.5,-100.0,2026-04-13 14:29:59
ACU-200,amazon,1599.0,799.5,-100.0,2026-04-13 14:29:59
ACLC-S-60,amazon,499.0,831.67,40.0,2026-04-13 14:29:59
ACU-S-60,amazon,499.0,249.5,-100.0,2026-04-13 14:29:59
PRO-KB-907,amazon,3199.0,352.7,-807.0,2026-04-13 14:29:59
PRO-RM-907,amazon,3199.0,352.7,-807.0,2026-04-13 14:29:59
PRO-CC-907,amazon,899.0,416.2,-116.0,2026-04-13 14:29:59
PRO-SB-907,amazon,3199.0,352.7,-807.0,2026-04-13 14:29:59
PRO-CM-907,amazon,3199.0,352.7,-807.0,2026-04-13 14:29:59
PRO-MG-907,amazon,2999.0,330.65,-807.0,2026-04-13 14:29:59
ACBL-S-60,amazon,589.0,294.5,-100.0,2026-04-13 14:29:59
ACMC-S-60,amazon,589.0,981.67,40.0,2026-04-13 14:29:59
PRO-MG-S-216,amazon,2999.0,330.65,-807.0,2026-04-13 14:29:59
PRO-SB-S-216,amazon,3199.0,352.7,-807.0,2026-04-13 14:29:59
PRO-CM-S-216,amazon,849.0,393.06,-116.0,2026-04-13 14:29:59
CREATINE-100,amazon,549.0,549.0,0.0,2026-04-13 14:29:59
PRO-BN-907,amazon,3299.0,363.73,-806.99,2026-04-13 14:29:59
