sku,product_name,platform,url,active,
EDF-100,Fiber,amazon,https://www.amazon.in/dp/B0B59MRG9M,yes,
EDF-200,Fiber,amazon,https://www.amazon.in/dp/B0C1ZG97MN,yes,
EDF-300,Fiber,amazon,https://www.amazon.in/dp/B0CDCGZFKY,yes,
EDF-400,Fiber,amazon,https://www.amazon.in/dp/B0CH8864W4,yes,
EDF-500,Fiber,amazon,https://www.amazon.in/dp/B0D4DRYQ46,yes,
EDF-600,Fiber,amazon,https://www.amazon.in/dp/B0D4DNQTJR,yes,
EDS-150,Sweet,amazon,https://www.amazon.in/dp/B0BHHHRZMW,yes,
EDS-S-240,Sweet,amazon,https://www.amazon.in/dp/B0CZP9RQ9X,yes,
EDS-S-480,Sweet,amazon,https://www.amazon.in/dp/B0DK5R5L45,yes,
EDS-S-960,Sweet,amazon,https://www.amazon.in/dp/B0DK5RYBNW,yes,
EDS-400,Sweet,amazon,https://www.amazon.in/dp/B0BGH5R1F9,yes,
EDS-800,Sweet,amazon,https://www.amazon.in/dp/B0CD7ZBHJJ,yes,
WI-900,Whey Proteins,amazon,https://www.amazon.in/dp/B07WGDXGTV,yes,
WC-900,Whey Proteins,amazon,https://www.amazon.in/dp/B07TQSY6YQ,no,
EDP-400,Protein Blend,amazon,https://www.amazon.in/dp/B09BR5JJV2,yes,
EDP-900,Protein Blend,amazon,https://www.amazon.in/dp/B09BR6775J,yes,
EDPP-400,Plant Protein,amazon,https://www.amazon.in/dp/B09N98Q646,yes,
EDPP-900,Plant Protein,amazon,https://www.amazon.in/dp/B09N91P1B1,yes,
ACLC-200,Collagen,amazon,https://www.amazon.in/dp/B0DJGX7L99,yes,
ACBL-200,Collagen,amazon,https://www.amazon.in/dp/B0DJGYGJ98,yes,
ACMC-200,Collagen,amazon,https://www.amazon.in/dp/B0DJGW5PJ8,yes,
ACU-200,Collagen,amazon,https://www.amazon.in/dp/B0DJH12W2R,yes,
ACLC-S-60,Collagen,amazon,https://www.amazon.in/dp/B0DNK35HBV,yes,
ACBL-S-60,Collagen,amazon,https://www.amazon.in/dp/B0DNK41LM8,yes,
ACMC-S-60,Collagen,amazon,https://www.amazon.in/dp/B0DNK8H86J,yes,
ACU-S-60,Collagen,amazon,https://www.amazon.in/dp/B0DNK8G8RQ,yes,
PRO-KB-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ4VBKJW,yes,
PRO-RM-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ4YTG9P,yes,
PRO-CC-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ52JW4W,yes,
PRO-MG-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ4XSMTQ,yes,
PRO-SB-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ4YPXF4,yes,
PRO-CM-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0DQ534GVQ,yes,
PRO-BN-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0GHN4ZJL2,yes,
PRO-MT-907,Whey Proteins,amazon,https://www.amazon.in/dp/B0G71XYKZ3,no,
PRO-KB-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F24R78RY,yes,
PRO-RM-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F24SY2J7,yes,
PRO-CC-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F24KKCDJ,yes,
PRO-MG-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F1TYY4JH,yes,
PRO-SB-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F1TVH298,yes,
PRO-CM-S-216,Whey Proteins,amazon,https://www.amazon.in/dp/B0F1TTPK58,yes,
PRO-KB-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G4CZRL1P,no,
PRO-RM-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G4DJHNN5,no,
PRO-CC-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G4LYH579,no,
PRO-MG-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G4QZM73M,no,
PRO-SB-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G5F4ZL9M,no,
PRO-CM-1814,Whey Proteins,amazon,https://www.amazon.in/dp/B0G5M784R9,no,
CREATINE-100,Creatine,amazon,https://www.amazon.in/dp/B0F3P7WZ9Y,yes,
CHOCO-SPREAD-200,Chocolate Spread,amazon,https://www.amazon.in/dp/B0F2G428HV,no,
